1	1	1	14.37	15.09	14	1		5
1	1	2	12.15	12.27	14	1		1
1	1	3	20.79	22.87	28	0		10
1	1	4	10.02	14.03	28	1		40
1	1	5	17.02	25.54	28	1		50
1	1	6	24.80	29.76	28	0		20
1	1	7	23.61	30.70	14	0		30
1	1	8	21.24	21.45	28	0		1
1	1	9	18.18	23.64	28	1		30
1	1	10	9.35	10.29	14	1		10
1	1	11	19.69	21.66	14	0		10
1	1	12	18.35	19.27	14	1		5
1	1	13	17.16	24.02	14	1		40
1	1	14	12.99	19.49	28	1		50
1	1	15	18.91	19.10	28	1		1
1	1	16	18.54	25.95	14	0		40
1	1	17	29.30	35.15	28	1		20
1	1	18	19.80	23.76	28	1		20
1	1	19	18.63	24.22	14	0		30
1	1	20	15.49	16.26	14	0		5
1	2	1	25.06	37.59	14	1		50
1	2	2	17.47	19.22	14	1		10
1	2	3	15.97	16.77	28	0		5
1	2	4	33.99	40.79	28	0		20
1	2	5	17.88	19.67	28	0		10
1	2	6	13.85	19.39	28	0		40
1	2	7	26.14	26.40	14	1		1
1	2	8	15.71	15.87	28	0		1
1	2	9	22.48	31.47	28	1		40
1	2	10	25.76	33.49	14	0		30
1	2	11	22.63	27.16	14	0		20
1	2	12	18.09	23.52	14	0		30
1	2	13	14.40	15.11	14	0		5
1	2	14	24.55	24.79	28	0		1
1	2	15	22.16	33.24	28	1		50
1	2	16	22.67	23.81	14	0		5
1	2	17	18.81	26.33	28	0		40
1	2	18	14.84	17.81	28	1		20
1	2	19	19.60	25.47	14	0		30
1	2	20	24.96	27.45	14	1		10
1	3	1	2362.87	2365.24	28	1		1
1	3	2	1597.58	1661.48	14	0		40
1	3	3	1690.97	1707.88	14	0		10
1	3	4	1784.12	1837.64	28	1		30
1	3	5	2817.01	2901.52	14	0		30
1	3	6	1309.35	1374.82	14	0		50
1	3	7	1954.16	2051.87	28	0		50
1	3	8	2042.40	2044.44	14	1		1
1	3	9	2226.35	2237.49	14	1		5
1	3	10	1882.65	1957.95	28	0		40
1	3	11	2573.23	2624.69	28	0		20
1	3	12	1781.05	1834.48	28	0		30
1	3	13	2164.65	2251.24	14	0		40
1	3	14	2191.28	2213.20	28	1		10
1	3	15	1010.50	1011.51	28	0		1
1	3	16	1846.94	1856.18	14	0		5
1	3	17	2558.18	2609.34	14	0		20
1	3	17	2832.35	2860.67	28	1		10
1	3	19	2417.31	2465.65	14	0		20
1	3	20	1491.99	1499.45	28	0		5
2	1	1	22.98	24.13	14	1		5
2	1	2	27.20	27.47	14	1		1
2	1	3	25.06	27.57	28	1		10
2	1	4	22.56	31.58	28	1		40
2	1	5	16.25	24.38	14	0		50
2	1	6	12.33	14.80	28	0		20
2	1	7	14.88	19.35	28	1		30
2	1	8	16.77	16.94	14	1		1
2	1	9	11.84	15.39	28	1		30
2	1	10	13.42	14.77	28	1		10
2	1	11	14.81	16.29	14	0		10
2	1	12	24.16	25.36	28	1		5
2	1	13	23.49	32.89	14	1		40
2	1	14	24.52	36.79	28	1		50
2	1	15	26.45	26.72	28	0		1
2	1	16	20.19	28.26	14	0		40
2	1	17	25.42	30.50	14	1		20
2	1	18	21.59	25.91	28	1		20
2	1	19	11.21	14.57	14	0		30
2	1	20	24.52	25.75	14	1		5
2	2	1	25.07	26.32	14	1		5
2	2	2	15.92	16.08	14	0		1
2	2	3	24.78	27.26	28	1		10
2	2	4	17.09	23.92	28	1		40
2	2	5	18.15	27.22	14	1		50
2	2	6	24.76	29.71	28	1		20
2	2	7	15.79	20.53	28	1		30
2	2	8	18.29	18.47	14	1		1
2	2	9	18.55	24.11	28	0		30
2	2	10	18.04	19.84	28	0		10
2	2	11	23.37	25.70	14	0		10
2	2	12	15.85	16.65	28	1		5
2	2	13	20.87	29.21	14	0		40
2	2	14	22.29	33.43	28	0		50
2	2	15	20.62	20.83	28	1		1
2	2	16	19.04	26.66	14	1		40
2	2	17	24.79	29.75	14	1		20
2	2	18	25.84	31.01	28	1		20
2	2	19	11.78	15.32	14	1		30
2	2	20	10.91	11.45	14	0		5
2	3	1	2026.11	2036.25	14	1		5
2	3	2	1502.65	1504.15	14	0		1
2	3	3	1264.41	1277.05	28	0		10
2	3	4	2490.94	2590.58	28	1		40
2	3	5	2644.10	2776.30	14	1		50
2	3	6	1795.21	1831.12	28	1		20
2	3	7	2470.64	2544.76	28	1		30
2	3	8	388.75	389.14	14	0		1
2	3	9	1723.44	1775.14	28	1		30
2	3	10	1628.95	1645.24	28	1		10
2	3	11	3038.72	3069.10	14	1		10
2	3	12	2042.79	2053.00	28	1		5
2	3	13	1734.73	1804.12	14	0		40
2	3	14	2504.99	2630.24	28	1		50
2	3	15	2229.12	2231.35	28	1		1
2	3	16	2509.73	2610.12	14	1		40
2	3	17	1118.39	1140.76	14	1		20
2	3	18	1785.06	1820.76	28	1		20
2	3	19	1674.07	1724.30	14	1		30
2	3	20	1807.50	1816.53	14	1		5
3	1	1	21.21	22.27	14	1		5
3	1	2	14.36	14.50	14	0		1
3	1	3	20.46	22.51	14	0		10
3	1	4	21.53	30.14	28	1		40
3	1	5	21.19	31.79	28	1		50
3	1	6	21.20	25.44	28	1		20
3	1	7	13.09	17.02	14	0		30
3	1	8	20.63	20.83	14	0		1
3	1	9	24.09	31.31	14	0		30
3	1	10	19.86	21.84	28	1		10
3	1	11	19.49	21.44	28	0		10
3	1	12	22.55	23.67	14	0		5
3	1	13	27.20	38.07	28	0		40
3	1	14	22.70	34.05	28	0		50
3	1	15	21.76	21.98	14	1		1
3	1	16	16.36	22.90	14	1		40
3	1	17	19.45	23.34	28	1		20
3	1	18	11.73	14.08	28	1		20
3	1	19	16.33	21.23	28	1		30
3	1	20	12.01	12.61	14	1		5
3	2	1	22.57	29.35	14	1		30
3	2	2	33.84	40.60	14	1		20
3	2	3	14.41	15.85	14	0		10
3	2	4	20.93	29.31	28	0		40
3	2	5	17.21	20.66	28	0		20
3	2	6	16.13	20.97	28	0		30
3	2	7	29.36	38.17	14	1		30
3	2	8	28.98	30.43	14	1		5
3	2	9	13.13	13.26	14	0		1
3	2	10	18.06	19.87	28	1		10
3	2	11	19.02	26.63	28	0		40
3	2	12	20.53	21.56	14	1		5
3	2	13	23.66	23.90	28	0		1
3	2	14	18.58	26.01	28	0		40
3	2	15	20.73	20.94	14	0		1
3	2	16	25.14	26.40	14	0		5
3	2	17	26.33	31.60	28	1		20
3	2	18	24.32	36.48	28	0		50
3	2	19	20.78	31.17	28	0		50
3	2	20	23.89	26.28	14	0		10
3	3	1	2180.81	2246.23	14	1		30
3	3	2	1686.22	1719.94	14	0		20
3	3	3	1192.84	1204.77	14	0		10
3	3	4	2820.53	2933.35	28	0		40
3	3	5	2667.04	2720.38	28	0		20
3	3	6	1843.72	1899.04	28	1		30
3	3	7	1821.86	1876.52	14	0		30
3	3	8	2197.49	2208.48	14	0		5
3	3	9	2016.47	2018.48	14	0		1
3	3	10	2839.34	2867.73	28	1		10
3	3	11	2546.82	2648.70	28	0		40
3	3	12	2625.16	2638.29	14	1		5
3	3	13	1510.58	1512.09	28	1		1
3	3	14	2186.26	2273.71	28	0		40
3	3	15	2767.65	2770.42	14	0		1
3	3	16	1445.00	1452.22	14	0		5
3	3	17	704.24	718.33	28	0		20
3	3	18	2382.63	2501.76	28	0		50
3	3	19	1919.86	2015.85	28	1		50
3	3	20	2671.06	2697.77	14	1		10
